,percMalicious,operatingError,reportingError
24264,percMalicious,0.1673526725484058,0.1541895781162655
24480,percMalicious,0.1200806270168076,0.1710746754047097
24696,percMalicious,0.1678370176878015,0.1567571981283831
24912,percMalicious,0.1186379608149656,0.1538990589793428
25128,percMalicious,0.1639442121170449,0.1658119237868395
25344,percMalicious,0.1143376255967227,0.1561549887725119
25560,percMalicious,0.1604296256143595,0.1477719309798993
25776,percMalicious,0.1161547326334895,0.1572268587469571
25992,percMalicious,0.1789123455504281,0.1618878731213065
26208,percMalicious,0.1178632925583062,0.1520045522055358
26424,percMalicious,0.167240415191805,0.1552719770080316
26640,percMalicious,0.1182017093684629,0.1641926792946563
26856,percMalicious,0.1691342595334107,0.1618821910452477
27072,percMalicious,0.1211469246816354,0.1744624052798713
27288,percMalicious,0.1724387655664407,0.1639377378059203
27504,percMalicious,0.1185958668504496,0.1645592420380423
27720,percMalicious,0.176170337348257,0.162587329913505
27936,percMalicious,0.1173412796645529,0.1631966462925501
28152,percMalicious,0.1747394473612876,0.1594857887617611
28368,percMalicious,0.1167479048746728,0.1436115631973168
28584,percMalicious,0.1702126644816347,0.1619848997827275
28800,percMalicious,0.1153110593221693,0.15237169479984
29016,percMalicious,0.1636387324585801,0.1643523975437178
29232,percMalicious,0.1197445807203682,0.1672201195928883
29448,percMalicious,0.1844699742638714,0.1728265155574151
29664,percMalicious,0.1159599425922064,0.1576976562358855
29880,percMalicious,0.1731071513065632,0.1615096039267054
30096,percMalicious,0.1154125879221277,0.1551265824847133
30312,percMalicious,0.1718647281309378,0.1538931826345885
30528,percMalicious,0.116225195665603,0.1616511298621473
30744,percMalicious,0.1597659090778738,0.1586737146136197
30960,percMalicious,0.1158172024724517,0.1607067267273847
31176,percMalicious,0.1693821424875192,0.1577797855958562
31392,percMalicious,0.1165212935329105,0.1611319223940343
31608,percMalicious,0.1736366236499366,0.1618854961225344
31824,percMalicious,0.1219077547310504,0.1615455430959418
32040,percMalicious,0.1734694714313338,0.1624133193288785
32256,percMalicious,0.1130825615287811,0.1509693932245688
32472,percMalicious,0.1745822045469638,0.165811027576475
32688,percMalicious,0.1165651289789674,0.1571665240863809
