,byWitnessRep,operatingError,reportingError
4617,True,0.1237807918630991,0.1020483156631187
4824,False,0.1682459335803142,0.1665966252003507
4833,True,0.1209490814903649,0.1013035082593515
5040,False,0.1730315412904388,0.1674470595277933
5049,True,0.1276099735243886,0.0838683579117682
5256,False,0.1794391705943894,0.1700426393047793
5265,True,0.1252934747774502,0.0930578101131638
5472,False,0.1699653568739633,0.1729738614177332
5481,True,0.1187148236267041,0.0947590978560447
5688,False,0.1784437769836949,0.1506372047630867
5697,True,0.1314915169103674,0.091825102675277
5904,False,0.1629659267707617,0.1564952733785954
5913,True,0.1335638986299306,0.0976283073479856
6120,False,0.1741133586796233,0.1631356144776999
6129,True,0.1411800657172893,0.1186327217134077
6336,False,0.1723880447450704,0.1626647371262428
6345,True,0.1274345831278997,0.0958198452076076
6552,False,0.1765979772243463,0.1699704023933619
6561,True,0.1310335237819723,0.0910829582140202
6768,False,0.1786399787605864,0.1624962005029674
6777,True,0.1312957608045682,0.1001139486437159
6984,False,0.1776593976582297,0.1626559009555895
6993,True,0.1299676973828606,0.1063903303967285
7200,False,0.1778319186642289,0.1604521955115547
7209,True,0.1212988778739061,0.1013138510024958
7416,False,0.1772858084949679,0.1642866523277877
7425,True,0.1180089199929857,0.1053173537273618
7632,False,0.1763320129928705,0.1601706518538082
7641,True,0.127754382282942,0.0982914381343115
7848,False,0.1740633590302635,0.1570540109231659
7857,True,0.1407878125312706,0.1132372760920404
8064,False,0.1773791591427169,0.1605942865652856
8073,True,0.1317679586296691,0.1110196417600832
8280,False,0.1699369516057151,0.161660655969079
8289,True,0.1225669911935852,0.0983012254988892
8496,False,0.1796835315832788,0.162556162010519
8505,True,0.1243814718810694,0.0889589519487248
8712,False,0.1757647875957703,0.1750170127124282
8721,True,0.1294541396308113,0.0963759977451496
8928,False,0.1809803352210582,0.1560177059918989
8937,True,0.1169733248502179,0.0919776123681453
9144,False,0.1804926711144191,0.1568868110352509
9153,True,0.1178874359053858,0.0909773728265766
9360,False,0.171312117549618,0.1534048458886248
9369,True,0.1330772960764518,0.0976702746248593
