,propNormal,operatingError,reportingError
22536,0.1,0.8469993985088693,0.8370977519148461
22752,0.5,0.4064282786248836,0.5003331013547281
22968,0.1,0.8672247227543661,0.8361181923033736
23184,0.5,0.4099679267519122,0.4990583925480451
23400,0.1,0.8625691006276398,0.8340815152204988
23616,0.5,0.4089927875935026,0.4956221785026678
23832,0.1,0.8507199255994496,0.8398896131650884
24048,0.5,0.4020090209018336,0.4980192124938408
24264,0.1,0.8552209147487119,0.8484590248751338
24480,0.5,0.4169588834444818,0.5035440968831878
24696,0.1,0.8654867066740719,0.8393812838823587
24912,0.5,0.4050253098419563,0.4982957719568928
25128,0.1,0.8581035723417705,0.8419185029567677
25344,0.5,0.4107920123329242,0.4864228734759806
25560,0.1,0.8542313620706333,0.8319650556405507
25776,0.5,0.394292231698128,0.4880026962663945
25992,0.1,0.8508764402268046,0.839429302547989
26208,0.5,0.4155916969479918,0.5022775926178916
26424,0.1,0.8472850157156671,0.8309361459802261
26640,0.5,0.4083885715124,0.5014482584300767
26856,0.1,0.8508447267925991,0.8439430202965158
27072,0.5,0.4114493619108815,0.4936624708308556
27288,0.1,0.8629630601315676,0.8384386462367348
27504,0.5,0.4227777977377476,0.510741136847738
27720,0.1,0.8527807483866654,0.8352891097837617
27936,0.5,0.4046311647732896,0.5045733905456619
28152,0.1,0.854049020184537,0.8409091033038267
28368,0.5,0.4119073506107411,0.4908882414432899
28584,0.1,0.8595609913209791,0.8419874150378439
28800,0.5,0.411221065131816,0.4917456146285233
29016,0.1,0.8508875026123761,0.8532980135170098
29232,0.5,0.4225157162534635,0.5110655844661472
29448,0.1,0.8598102213996878,0.836652608660287
29664,0.5,0.3967727728878883,0.5015332185360154
29880,0.1,0.8426403091948309,0.8288817542268879
30096,0.5,0.4188263415252211,0.5016576862001529
30312,0.1,0.8557010458915875,0.8211625102980498
30528,0.5,0.393758549344686,0.4848907845995917
30744,0.1,0.8621208936435498,0.8453093356670982
30960,0.5,0.411980871286466,0.4906382986932031
31176,0.1,0.8589435470987862,0.8372488207292089
