,byNumWitnesses,operatingError,reportingError
38106,True,0.1777155727064585,0.1581941223702407
38304,False,0.1783731940763997,0.1732539887462738
38322,True,0.1663870573482785,0.1501678254161334
38520,False,0.1662050341065471,0.1504777281875276
38538,True,0.1824894125143914,0.174855967206363
38736,False,0.1815880110541969,0.1624284457724299
38754,True,0.1672066225355787,0.1604357735555384
38952,False,0.1804935489116796,0.1692849845441222
38970,True,0.1733983080645506,0.1688660773907571
39168,False,0.1758794601541246,0.1804885777619827
39186,True,0.1718497674707234,0.1716379689509765
39384,False,0.1687067022254163,0.1608784176007298
39402,True,0.1854885241851377,0.1661239991744683
39600,False,0.1727893921656981,0.1524710274138497
39618,True,0.1816450321992696,0.1681175736783726
39816,False,0.1769685322964776,0.1640702352846846
39834,True,0.1799181112665004,0.1632220442862375
40032,False,0.1770550976469477,0.1624834743727813
40050,True,0.1697526181506516,0.1623768001102751
40248,False,0.1668857266984794,0.1522241346178476
40266,True,0.174135451016,0.1608776903309142
40464,False,0.1673505676797679,0.1539218926179696
40482,True,0.1717850341207142,0.1641596639585786
40680,False,0.1753923390592727,0.1562966035152883
40698,True,0.1820544832628058,0.1693874593794962
40896,False,0.1660385651316242,0.1531698042760041
40914,True,0.1730971817450464,0.1697010276638713
41112,False,0.1822034605481687,0.1591193321233172
41130,True,0.1696486335809373,0.1656584243938885
41328,False,0.1656761667432104,0.1622884686987497
41346,True,0.1654455987066879,0.1561457453351069
41544,False,0.1617273131103837,0.1462940621428702
41562,True,0.1746080105229334,0.1545481924549758
41760,False,0.179791419599343,0.1563479267574351
41778,True,0.1814457415158421,0.1645577191813041
41976,False,0.1718803269594158,0.1562199415694163
41994,True,0.1778989529633635,0.1591430813218519
42192,False,0.1678208973369045,0.164534822783517
42210,True,0.1735854773826084,0.1589856646882311
42408,False,0.1746570789347761,0.1611544150677138
42426,True,0.1737577743176951,0.1609704468215274
42624,False,0.1768901521682918,0.1532799835962103
42642,True,0.1705678008786635,0.1422123802492574
42840,False,0.1711602589965686,0.1581110536589678
42858,True,0.179068919566531,0.169096190137937
43056,False,0.1675972608347752,0.1644007861569801
43074,True,0.1774807286967051,0.1522442461896594
43272,False,0.1813887429545584,0.1607411327310631
43290,True,0.1758038070539331,0.1614562626512279
43488,False,0.1815049429183811,0.1696850541189187
43506,True,0.177672976191277,0.1622887855387394
43704,False,0.1773506721496071,0.1625622626436281
43722,True,0.1739083644330703,0.1485960044569045
43920,False,0.1750307125013114,0.1562322874081642
43938,True,0.1825988700900713,0.1627526097705283
44136,False,0.1597962929400509,0.1614644197087743
44154,True,0.1758121587566423,0.1738728944600655
44352,False,0.1804656544982761,0.1768067254927077
44370,True,0.163910230919074,0.1509641104491952
44568,False,0.1685208312179174,0.1616911980282415
44586,True,0.1749028731694318,0.1585179119407337
44784,False,0.1779487414793263,0.1690284456845993
44802,True,0.1758684171245455,0.1664607213996216
45000,False,0.1769698308081239,0.1521573577720732
45018,True,0.1741927187805198,0.1635847440670943
45216,False,0.1643208750188357,0.1589118767297199
45234,True,0.1786829171076946,0.1757323022028018
45432,False,0.1888590949300324,0.1567443967411796
45450,True,0.1673915185598454,0.1618383777618141
45648,False,0.1742294196873624,0.1510166278364692
45666,True,0.1687019098335859,0.1592060372071628
45864,False,0.1734593013494406,0.1742009229114614
45882,True,0.1778912187573867,0.1599885834953256
46080,False,0.1752008913132899,0.1562197857438474
46098,True,0.1766445438814335,0.1580156853185531
46296,False,0.170211844683147,0.1573543053803532
46314,True,0.1762156555483938,0.1663764113058833
46512,False,0.1664180775511679,0.1485154907714906
46530,True,0.1919654524485824,0.1613290202905013
46728,False,0.1849509546782892,0.1704626381952834
46746,True,0.1904341850660835,0.1533598897751714
46944,False,0.1666222997516546,0.1546159674531617
46962,True,0.1876692802150925,0.151883972109335
47160,False,0.1774623544119049,0.1507022881134688
47178,True,0.1680762454973128,0.1523693652333595
47376,False,0.1822401329896079,0.171825650348695
47394,True,0.1690618504913219,0.1589817677280618
47592,False,0.1798524683847701,0.1663196081957832
47610,True,0.1742700469882579,0.155237908284938
47808,False,0.1733187578437416,0.170364720474976
47826,True,0.169658723457258,0.1593704869137043
48024,False,0.1831437393237137,0.1706064387844643
48042,True,0.1674665393452036,0.1603597353096031
48240,False,0.1798908384313919,0.1524396154730256
48258,True,0.1802457649360363,0.1545752976326395
48456,False,0.1645281386873903,0.1485194007980999
48474,True,0.1753084289169738,0.1559307770198608
48672,False,0.1809832717474048,0.1497618641369079
48690,True,0.1678564573889017,0.1470544627732181
48888,False,0.1806503307909398,0.1500551457671842
48906,True,0.180503151921671,0.1563971526691785
49104,False,0.1710455497065925,0.1615606060405824
49122,True,0.1704617370303254,0.1585789290479357
49320,False,0.1719792245741282,0.1723942451204376
49338,True,0.1648659158533545,0.1627765701909752
49536,False,0.1733794174473233,0.1618218523170293
49554,True,0.1734398054585305,0.1499508378872158
49752,False,0.1798659245581355,0.1578459656475133
49770,True,0.1848779524108738,0.1728254833435618
49968,False,0.1790030813614316,0.1593737207766997
49986,True,0.1777223868303048,0.1606979581567359
50184,False,0.1790155632327204,0.1658461235959365
50202,True,0.1737502041675702,0.1510216183788575
50400,False,0.1754880181842229,0.1636040044621834
50418,True,0.1684843052751422,0.1578227596133146
50616,False,0.1740745350524283,0.1701607396817469
50634,True,0.1709781836127484,0.1562286815944034
50832,False,0.1693668624206607,0.1611728435660039
50850,True,0.1766009918689542,0.1569692882731513
51048,False,0.1773466866271636,0.1617244979419668
51066,True,0.180513286583743,0.1780025668301949
