,propWitnesses,percTransaction,operatingError,reportingError
14327,0.8,1.0,0.1748974361054756,0.1682847078284048
14543,1.0,1.0,0.1829954013610167,0.1893360502529727
14759,0.8,1.0,0.1748413928889244,0.1679179343942485
14975,1.0,1.0,0.1747453867230009,0.1534251151632565
15191,0.8,1.0,0.1827432476295462,0.160253531663095
15407,1.0,1.0,0.1795778012131939,0.1606801212827155
15623,0.8,1.0,0.180064596674116,0.1674112593992526
15839,1.0,1.0,0.1686699485149618,0.1703839902563691
16055,0.8,1.0,0.1709060937422601,0.1578820884658037
16271,1.0,1.0,0.1812473755807601,0.1801888167403856
16487,0.8,1.0,0.1800663068517797,0.1608897718564382
16703,1.0,1.0,0.1686214987338782,0.1658817629814243
16919,0.8,1.0,0.1698796188520853,0.1850865307528463
17135,1.0,1.0,0.1785253162169771,0.1708919904566305
17351,0.8,1.0,0.1778015373043151,0.1733275728565962
17567,1.0,1.0,0.1701342468478378,0.1637335171399984
17783,0.8,1.0,0.1787363415422296,0.1655513438109965
17999,1.0,1.0,0.1787137738091383,0.1732356821137352
18215,0.8,1.0,0.1700550271259569,0.1665582738525367
18431,1.0,1.0,0.176496053997451,0.1736032433239693
18647,0.8,1.0,0.1738511621756323,0.164229800479836
18863,1.0,1.0,0.1818390724405985,0.1774926343884444
19079,0.8,1.0,0.1737779340345511,0.1545678720063543
19295,1.0,1.0,0.1759947838468376,0.1739763841823884
19511,0.8,1.0,0.1759650474820683,0.1657090090635134
19727,1.0,1.0,0.1818634258044404,0.1675536049418604
19943,0.8,1.0,0.1771075618691909,0.1686991679688127
20159,1.0,1.0,0.1829107987463234,0.1758673189483293
20375,0.8,1.0,0.166264585401036,0.158486961947398
20591,1.0,1.0,0.1761429366646462,0.1749388892390877
20807,0.8,1.0,0.174948959103747,0.1477654224489235
21023,1.0,1.0,0.1814867909429819,0.164833313458877
21239,0.8,1.0,0.182523343982815,0.1710070813526344
21455,1.0,1.0,0.1688273579347807,0.1638590891394406
21671,0.8,1.0,0.181206165898192,0.1628682482016793
21887,1.0,1.0,0.1773219125801838,0.1715747946337839
