,velocity,operatingError,reportingError
4609,0.2,0.1845932713165319,0.1581518837052696
4610,0.3,0.1765002389012352,0.1511981127147044
4611,0.4,0.1990661645997635,0.1539591721055244
4612,0.5,0.1802073094082096,0.1815215378141988
4613,0.6,0.1567874740115069,0.1495103467897721
4614,0.7,0.1551333973490813,0.1764517066208512
4615,0.8,0.2036051714753453,0.1688775699641423
4616,0.9,0.1739430645745277,0.1506843735203994
4824,0.1,0.1682459335803142,0.1665966252003507
4825,0.2,0.1759843145918559,0.1468419170921485
4826,0.3,0.1606943184815932,0.1267441819267416
4827,0.4,0.1975797440861333,0.1839020371349363
4828,0.5,0.1654448521910479,0.1263559098688522
4829,0.6,0.1747005875866604,0.1789917090582426
4830,0.7,0.1617653273278564,0.1346816496936217
4831,0.8,0.1375563071450342,0.1704466974725037
4832,0.9,0.1714896726510988,0.1009553480411956
5040,0.1,0.1730315412904388,0.1674470595277933
5041,0.2,0.1789272989393986,0.1553066263634391
5042,0.3,0.16930555909498,0.1648028163664212
5043,0.4,0.1821246814492775,0.1650085411923291
5044,0.5,0.1572176162363511,0.1695585531929886
5045,0.6,0.1805530218793384,0.1269284540079334
5046,0.7,0.1877571392096014,0.1636565359009424
5047,0.8,0.2139005365338124,0.1799073071914375
5048,0.9,0.2710155271948204,0.1358033682864325
5256,0.1,0.1794391705943894,0.1700426393047793
5257,0.2,0.1715502874835051,0.1495928450608953
5258,0.3,0.170958851316593,0.1684720832952095
5259,0.4,0.1787265339574777,0.1481733136333557
5260,0.5,0.1572131828707662,0.1453365690502938
5261,0.6,0.1953160558741043,0.1533734734863587
5262,0.7,0.1734332800746286,0.2045385951050662
5263,0.8,0.2285251226586606,0.1628867354506663
5264,0.9,0.1837718341049229,0.1802359101413663
5472,0.1,0.1699653568739633,0.1729738614177332
5473,0.2,0.1611388790073123,0.1486887238432061
5474,0.3,0.1738447683244076,0.1416934437407167
5475,0.4,0.1763070005776994,0.18209676607836
5476,0.5,0.1804906056739513,0.1724426105097188
5477,0.6,0.1551151344175215,0.1451966616697333
5478,0.7,0.1486645054190375,0.138788602012978
5479,0.8,0.2686909843082676,0.1554548000239687
5480,0.9,0.2395362183801977,0.1585234276923311
5688,0.1,0.1784437769836949,0.1506372047630867
5689,0.2,0.1833302438677241,0.169148280348851
5690,0.3,0.1889495041592362,0.1438595419433718
5691,0.4,0.1939627082931369,0.170278275222071
5692,0.5,0.1834589774720426,0.1565229549626859
5693,0.6,0.1987849143373864,0.1756278008576783
5694,0.7,0.1574643437175001,0.1680765444112058
5695,0.8,0.1579862461152972,0.1457940551296943
5696,0.9,0.2798067750800323,0.1789464605838164
5904,0.1,0.1629659267707617,0.1564952733785954
5905,0.2,0.1810739871616309,0.1684685975850241
5906,0.3,0.1679939532777429,0.1513489832124138
5907,0.4,0.1943702506970303,0.2018240429541165
5908,0.5,0.1950529894301744,0.1544807126961865
5909,0.6,0.1848754916034344,0.1494681399704913
5910,0.7,0.1922374479636904,0.1662836228961945
5911,0.8,0.1847864269918647,0.1573297153814536
5912,0.9,0.1582425748421061,0.1528066594943883
6120,0.1,0.1741133586796233,0.1631356144776999
6121,0.2,0.1933512228829534,0.1828123520505543
6122,0.3,0.1729495065830797,0.1569131842743542
6123,0.4,0.202742691875136,0.1577210896030941
6124,0.5,0.1543561096460564,0.1449387686171646
6125,0.6,0.1756279167828114,0.1667034521610265
6126,0.7,0.1339138159018275,0.1512583313870628
6127,0.8,0.1398769873290878,0.152485646303519
6128,0.9,0.302009526658379,0.1398963249917316
6336,0.1,0.1723880447450704,0.1626647371262428
6337,0.2,0.1689056044875354,0.1559984586233981
6338,0.3,0.1786701555866462,0.1529718218162577
6339,0.4,0.1630823232981739,0.151297005650318
6340,0.5,0.1850731779514723,0.162857907549203
6341,0.6,0.1670101581417248,0.137907576126463
6342,0.7,0.1527819464671847,0.1375366706038864
6343,0.8,0.1564326703721772,0.1483636145451839
6344,0.9,0.1995659272057794,0.1825334471433364
6552,0.1,0.1765979772243463,0.1699704023933619
6553,0.2,0.1857190093300113,0.1616186373419616
6554,0.3,0.1694737489846602,0.1559553644842614
6555,0.4,0.1576338840784523,0.1517025413087056
6556,0.5,0.1807365871678968,0.1854247108999149
6557,0.6,0.1950553505818918,0.1299453944053591
6558,0.7,0.1998332036983668,0.1894599909748984
6559,0.8,0.1587476636786197,0.1339068159261983
6560,0.9,0.1685889139610181,0.1478967668037867
6768,0.1,0.1786399787605864,0.1624962005029674
6769,0.2,0.1859609833104973,0.1778652960115484
6770,0.3,0.1711519644318835,0.1556519021221714
6771,0.4,0.167204506057346,0.1554947164719711
6772,0.5,0.1725220618050981,0.1512570901309527
6773,0.6,0.2074923848160655,0.1795550585647751
6774,0.7,0.1712527632351064,0.171811542696695
6775,0.8,0.1710145315237056,0.1579744619138835
6776,0.9,0.1945100615015582,0.1499853791276551
6984,0.1,0.1776593976582297,0.1626559009555895
6985,0.2,0.1765644286053157,0.1755483224056186
6986,0.3,0.1770230722826072,0.1528521600719939
6987,0.4,0.176742073321682,0.143492456329771
6988,0.5,0.1647221444633339,0.146845773355306
6989,0.6,0.1702522362353897,0.1637939908591619
6990,0.7,0.2037325484743502,0.1522052725129565
6991,0.8,0.2042516461170663,0.1681748466099458
6992,0.9,0.2200599706545767,0.1807825719997224
7200,0.1,0.1778319186642289,0.1604521955115547
7201,0.2,0.1721511663653211,0.1495220137409988
7202,0.3,0.1646720167852807,0.1662998087613797
7203,0.4,0.1781969710950377,0.1648505286214704
7204,0.5,0.1542125490197772,0.177628777048429
7205,0.6,0.1895718245500352,0.1579726556616516
7206,0.7,0.1902692684265774,0.1553703114501815
7207,0.8,0.1722357272310984,0.1313139232583466
7208,0.9,0.1870600018871708,0.1940162139909304
7416,0.1,0.1772858084949679,0.1642866523277877
7417,0.2,0.164370575843114,0.1567860547759067
7418,0.3,0.1814052578780241,0.1533788912333674
7419,0.4,0.1742068342562948,0.1876670507441952
7420,0.5,0.1869289865816966,0.1481096832478921
7421,0.6,0.1664723463386798,0.1508838197187144
7422,0.7,0.1669654264231211,0.1237054130023387
7423,0.8,0.1660594894343661,0.1664742462947479
7424,0.9,0.1688146502022739,0.136529650110933
7632,0.1,0.1763320129928705,0.1601706518538082
7633,0.2,0.1760327439479729,0.1628380575039955
7634,0.3,0.182862167825292,0.1577778244315129
7635,0.4,0.1849090066063305,0.1741530686810018
7636,0.5,0.1896680067364455,0.1836319763436946
