,useMalOp,useMalRep,operatingError,reportingError
19728,True,True,0.1801034671695108,0.1637518687160723
19944,False,False,0.1750154755686888,0.1559477499502135
20160,True,False,0.1339539637731833,0.1213381630732398
20376,False,True,0.1827215273310568,0.1652415683707742
20592,True,True,0.1792411848258323,0.1636501717062885
20808,False,False,0.1749282359012145,0.1515749107253541
21024,True,False,0.1379711716432796,0.1144890563506374
21240,False,True,0.1754286313467609,0.1590034401606459
21456,True,True,0.1649201246819157,0.1540383549779137
21672,False,False,0.1654656601750604,0.1568219739349507
21888,True,False,0.1323687636896616,0.1419693469837001
22104,False,True,0.1821132518531922,0.1521745737388093
22320,True,True,0.1822666111016478,0.1589852446899364
22536,False,False,0.1778214824234035,0.1710042756899453
22752,True,False,0.1380007975571241,0.1125890314702444
22968,False,True,0.1693174172953481,0.1594863394234709
23184,True,True,0.1769044472324152,0.1495969417882208
23400,False,False,0.1738774233723513,0.16498855882085
23616,True,False,0.1371602277161996,0.1197077123166719
23832,False,True,0.1767658859421637,0.1496317760137527
24048,True,True,0.1756731121379987,0.1676458787137016
24264,False,False,0.1730533772423665,0.1629975316381801
24480,True,False,0.1362194757813963,0.11454226365892
24696,False,True,0.1802168845659002,0.1608200027824935
24912,True,True,0.1800877536878653,0.1615658914805473
25128,False,False,0.1817515772876257,0.1667984376385282
25344,True,False,0.1284420824759095,0.1110616472404844
25560,False,True,0.1889331045254368,0.1772839515916069
25776,True,True,0.1756964519510382,0.1599989509809176
25992,False,False,0.1818962996941893,0.1553107179829471
26208,True,False,0.1339008344994273,0.1253033345279406
26424,False,True,0.1795945742117847,0.1697564652001661
26640,True,True,0.1690113497897951,0.148918834488705
26856,False,False,0.1857145814370918,0.1563864240026434
27072,True,False,0.1407085285905898,0.116113644508173
27288,False,True,0.1711243554472553,0.1613045993020437
27504,True,True,0.1769494236309328,0.1628036652875471
27720,False,False,0.1768358850343526,0.1546780347170363
27936,True,False,0.1294819243447112,0.1136235859681752
28152,False,True,0.1681374284203123,0.1602448916527126
28368,True,True,0.1723648205797309,0.1661416750944954
28584,False,False,0.1736065306870858,0.1591045677841495
28800,True,False,0.1409269103529214,0.125460273649121
29016,False,True,0.1836863363822833,0.1655117001488016
