,kNumWitnesses,operatingError,reportingError
6516,1.5,0.1773776856244205,0.1544280201744672
6552,2.0,0.1765979772243463,0.1699704023933619
6696,1.0,0.1748910204682326,0.1547082426608445
6732,1.5,0.1863761062184612,0.1666266085180514
6768,2.0,0.1786399787605864,0.1624962005029674
6912,1.0,0.1691410631781681,0.1625747122317611
6948,1.5,0.1773140423954845,0.1604244556735729
6984,2.0,0.1776593976582297,0.1626559009555895
7128,1.0,0.1817238022392811,0.1688127941675573
7164,1.5,0.1752300263760264,0.1478735569376302
7200,2.0,0.1778319186642289,0.1604521955115547
7344,1.0,0.1832466721034044,0.1582632990212634
7380,1.5,0.1704461762104518,0.15429255326214
7416,2.0,0.1772858084949679,0.1642866523277877
7560,1.0,0.1714735763498726,0.1660441674904397
7596,1.5,0.1734585958220132,0.1646211819718732
7632,2.0,0.1763320129928705,0.1601706518538082
7776,1.0,0.1749690518597351,0.1672537095300399
7812,1.5,0.1753234060290077,0.1566753932297312
7848,2.0,0.1740633590302635,0.1570540109231659
7992,1.0,0.1769706297409041,0.1594101799623943
8028,1.5,0.1726593204837532,0.159684029385576
8064,2.0,0.1773791591427169,0.1605942865652856
8208,1.0,0.1735568253674348,0.1555679762754828
8244,1.5,0.1731525763741131,0.1529437844361836
8280,2.0,0.1699369516057151,0.161660655969079
8424,1.0,0.181596557633989,0.1542545947441272
8460,1.5,0.1776252358024206,0.1707492492531811
8496,2.0,0.1796835315832788,0.162556162010519
8640,1.0,0.1734592764876675,0.1572245336404986
8676,1.5,0.1825666659032559,0.1604104584032163
8712,2.0,0.1757647875957703,0.1750170127124282
8856,1.0,0.1763952317744301,0.1563705141894694
8892,1.5,0.1756168378400451,0.1585478623921335
8928,2.0,0.1809803352210582,0.1560177059918989
9072,1.0,0.173774094167805,0.1622659780545462
9108,1.5,0.17099898009958,0.1548866586103919
9144,2.0,0.1804926711144191,0.1568868110352509
9288,1.0,0.172032713791915,0.165064523114732
9324,1.5,0.1813011440932739,0.1587117574143387
9360,2.0,0.171312117549618,0.1534048458886248
9504,1.0,0.1605159988451657,0.1517168432774084
9540,1.5,0.1695367980974314,0.1741074248726915
9576,2.0,0.1732880678157642,0.1728959062989959
9720,1.0,0.1792884171732436,0.1587866931773876
9756,1.5,0.1773444909635679,0.1580169404047198
9792,2.0,0.1711216263006494,0.1574838711289878
9936,1.0,0.168047938052271,0.1508608499009991
9972,1.5,0.1767602934939709,0.1551675757110664
10008,2.0,0.1734133278538258,0.1754392446551362
10152,1.0,0.1750244623499263,0.1548466805105956
10188,1.5,0.1770589743192557,0.1650616393714403
10224,2.0,0.1612275065684877,0.1511636690680609
10368,1.0,0.1661550333801533,0.1433728254478715
10404,1.5,0.1756562818817705,0.1523159909540931
10440,2.0,0.1736692284196925,0.160458108799639
10584,1.0,0.179168834067222,0.1507460285048839
10620,1.5,0.1790192942753213,0.1616719710433004
10656,2.0,0.1703451919859783,0.1673550343724814
10800,1.0,0.1750146466743332,0.1731591282439639
10836,1.5,0.1774803702164323,0.1732255440705414
10872,2.0,0.1847959256342345,0.1677292872836566
11016,1.0,0.1834853425464798,0.1733851998720561
11052,1.5,0.1672061817875723,0.1541555592198184
11088,2.0,0.1747360505581175,0.1677812319317457
11232,1.0,0.1683615932165217,0.1513626769250802
11268,1.5,0.1693194075534808,0.1676363675927745
11304,2.0,0.1794220146815625,0.1577625486109335
11448,1.0,0.1765611084973868,0.1599148748778743
11484,1.5,0.173257886364037,0.1566999999546843
