,broadcastNoise,witnessNoise,operatingError,reportingError
13032,0.5,0.5,0.488193777212239,0.4188470620566791
13248,0.9,0.5,0.4904091144116496,0.4198126740705765
13464,0.5,0.9,0.4917815564561011,0.2123309222189509
13680,0.9,0.9,0.2512226215640897,0.2234247633787575
13896,0.5,0.5,0.4932388421828604,0.4184301919399314
14112,0.9,0.5,0.4974547607356258,0.4103719305227276
14328,0.5,0.9,0.4923171564755588,0.2028194074774576
14544,0.9,0.9,0.249013753489528,0.2144319948134655
14760,0.5,0.5,0.4913952309265205,0.4208124717678703
14976,0.9,0.5,0.4971732283767094,0.4114721673940664
15192,0.5,0.9,0.4965241381036214,0.2230955077258069
15408,0.9,0.9,0.2356706275585278,0.2070062924209281
15624,0.5,0.5,0.4897856741061281,0.4252166873224814
15840,0.9,0.5,0.4976313391480225,0.4173839008160959
16056,0.5,0.9,0.4857680784567092,0.2225810368443829
16272,0.9,0.9,0.2420608201762073,0.206956450093054
16488,0.5,0.5,0.5048569780704122,0.4215240307352736
16704,0.9,0.5,0.4964531019597282,0.4200286720177347
16920,0.5,0.9,0.4998042228948061,0.1958307022838291
17136,0.9,0.9,0.237109574550954,0.2142418098618924
17352,0.5,0.5,0.4971716605053459,0.4117619338401735
17568,0.9,0.5,0.4889821166848922,0.4115115809510044
17784,0.5,0.9,0.4886191002928258,0.2013434533465843
18000,0.9,0.9,0.2430319852805965,0.2149153034869015
18216,0.5,0.5,0.505635203276046,0.4134393890336072
18432,0.9,0.5,0.5098506938874166,0.4113883856282814
18648,0.5,0.9,0.494068645704405,0.2112243965784891
18864,0.9,0.9,0.2507561255745781,0.2152597671533186
19080,0.5,0.5,0.4941821436270699,0.4130828652556687
19296,0.9,0.5,0.4989716053893967,0.4210889735486447
19512,0.5,0.9,0.502977963100116,0.2191814934849917
19728,0.9,0.9,0.257411144864113,0.2240360453758418
19944,0.5,0.5,0.5081228197843767,0.4143996510682355
20160,0.9,0.5,0.5002228868448824,0.4130378597130169
20376,0.5,0.9,0.4866677529096682,0.207932749391642
20592,0.9,0.9,0.2503292413380951,0.2054353472706897
20808,0.5,0.5,0.490880358570201,0.4170224350302479
21024,0.9,0.5,0.4824911024974594,0.4129194788688348
21240,0.5,0.9,0.5026320240808915,0.2282962762518326
21456,0.9,0.9,0.2385940764217128,0.2160085613648741
21672,0.5,0.5,0.4877281720338869,0.4202256582381564
21888,0.9,0.5,0.4859734729821491,0.4176166511584551
22104,0.5,0.9,0.4957869914740109,0.2198766958119878
22320,0.9,0.9,0.2355050341282254,0.2113484214387614
22536,0.5,0.5,0.5003002064727166,0.4178774619964736
22752,0.9,0.5,0.4939925645359853,0.4111884695614916
22968,0.5,0.9,0.4863438581163822,0.2032192050088457
23184,0.9,0.9,0.2466882808540197,0.2100381884139456
23400,0.5,0.5,0.5056725843190449,0.4082651210343896
23616,0.9,0.5,0.4928393625668844,0.4174449742381846
23832,0.5,0.9,0.4923987299627941,0.2109617645769284
24048,0.9,0.9,0.2344144221393051,0.2059114774482543
24264,0.5,0.5,0.4980152784989075,0.4154033010272231
24480,0.9,0.5,0.4933977191434658,0.420284937616379
24696,0.5,0.9,0.492835501719188,0.2286777308920861
24912,0.9,0.9,0.2480654807112679,0.2242664496968655
25128,0.5,0.5,0.5012413492564067,0.4087752991305773
25344,0.9,0.5,0.4986855755773253,0.4216274638943822
25560,0.5,0.9,0.4884535572407796,0.223960321011127
25776,0.9,0.9,0.2484498926661112,0.2151264352587246
25992,0.5,0.5,0.4972980189881681,0.4109850107789974
26208,0.9,0.5,0.4977948076137616,0.4033026878291805
26424,0.5,0.9,0.5023811772386886,0.207347920182652
26640,0.9,0.9,0.2329905351518859,0.1986396704801199
26856,0.5,0.5,0.4984677630898475,0.4194857716425837
27072,0.9,0.5,0.4991433001817736,0.416346084045711
27288,0.5,0.9,0.4967134079584682,0.2182577339132985
27504,0.9,0.9,0.2500694062665776,0.2154106288766271
27720,0.5,0.5,0.505435764259801,0.4188704057716556
27936,0.9,0.5,0.5024863837184254,0.4214013202030667
28152,0.5,0.9,0.4982220479336079,0.2229397247152031
28368,0.9,0.9,0.2541049357396497,0.210845792755549
28584,0.5,0.5,0.5026702513637699,0.4115934462348399
28800,0.9,0.5,0.4993802142910176,0.4160137946460948
29016,0.5,0.9,0.5084559403511569,0.213958150993493
29232,0.9,0.9,0.247129400251737,0.2121864841978001
29448,0.5,0.5,0.502549092015845,0.4189731438511954
29664,0.9,0.5,0.4991367385699407,0.4158971733188539
29880,0.5,0.9,0.5109648707785377,0.2036232991209171
30096,0.9,0.9,0.2323548124635811,0.2083003978828587
30312,0.5,0.5,0.4922261575291096,0.4331305763516471
30528,0.9,0.5,0.5006477963068234,0.4237794446069425
30744,0.5,0.9,0.5018759254484544,0.2258891295488763
30960,0.9,0.9,0.2432175494927647,0.2152244214033272
31176,0.5,0.5,0.498821882120801,0.4100082809152976
31392,0.9,0.5,0.5025537723377798,0.421839865475129
31608,0.5,0.9,0.4974805138491649,0.2223237539750634
31824,0.9,0.9,0.2431520997958435,0.2082993515088343
32040,0.5,0.5,0.4934086344445683,0.4124065843597739
32256,0.9,0.5,0.4971442218250581,0.4214552972887104
32472,0.5,0.9,0.4917578910208525,0.2099605880803757
32688,0.9,0.9,0.2374661536238129,0.216409451563688
32904,0.5,0.5,0.48336674412335,0.4265849787764174
33120,0.9,0.5,0.4995110680469824,0.4092654500852103
33336,0.5,0.9,0.489206704872787,0.2055398865992286
33552,0.9,0.9,0.2455986522300789,0.2028290441828972
33768,0.5,0.5,0.4978726374409703,0.4164691303730373
33984,0.9,0.5,0.4961900625228104,0.4178709311658935
34200,0.5,0.9,0.502581478190432,0.2175189794417111
34416,0.9,0.9,0.2457832073640555,0.2096928252456134
34632,0.5,0.5,0.4779021821176961,0.4082511598548111
34848,0.9,0.5,0.5036301839860626,0.4240245778451089
35064,0.5,0.9,0.488677908615606,0.2030735418904618
35280,0.9,0.9,0.2523099117771616,0.2212078603249672
35496,0.5,0.5,0.4918331776024374,0.4160465688346009
35712,0.9,0.5,0.4815240374590835,0.4218814335774694
35928,0.5,0.9,0.4938593195049814,0.215349810024267
36144,0.9,0.9,0.24279464928514,0.2250779943632459
36360,0.5,0.5,0.5018131431782858,0.4200369830577376
36576,0.9,0.5,0.5036521594480814,0.4177154684527551
36792,0.5,0.9,0.4918808989206922,0.2114740820566883
37008,0.9,0.9,0.241727345759248,0.2192267165021161
37224,0.5,0.5,0.5021836118100551,0.4139098846485968
37440,0.9,0.5,0.4836595654811801,0.4197286111979952
37656,0.5,0.9,0.5029716009087495,0.2274817904153529
37872,0.9,0.9,0.2464300793298349,0.2172146034053344
38088,0.5,0.5,0.4958430115149304,0.4209358751212273
38304,0.9,0.5,0.4968876886730369,0.4094874430320345
38520,0.5,0.9,0.5023722922497398,0.2088544357312271
38736,0.9,0.9,0.2330646800989994,0.2161658012359506
38952,0.5,0.5,0.4962438698777563,0.4222581129467929
39168,0.9,0.5,0.4851053886291213,0.4085640744896363
39384,0.5,0.9,0.4973430930034966,0.1944439465556314
39600,0.9,0.9,0.2575933015828973,0.231639424014194
39816,0.5,0.5,0.480847065328629,0.4244117879885859
40032,0.9,0.5,0.5072685772699635,0.4168731332399944
40248,0.5,0.9,0.5084948621431569,0.2163358381545586
40464,0.9,0.9,0.2425890342848583,0.2159944058256513
40680,0.5,0.5,0.4945960781534138,0.4223277233449801
40896,0.9,0.5,0.4919473172240111,0.4127325774049182
41112,0.5,0.9,0.4964891165861403,0.2066930286980814
41328,0.9,0.9,0.2372854089991245,0.2052928252991696
41544,0.5,0.5,0.501198742856205,0.4185960827991106
41760,0.9,0.5,0.5012224695929057,0.40678433176962
41976,0.5,0.9,0.4915450505290472,0.2157143337583371
42192,0.9,0.9,0.2338419810561618,0.2283548574268122
42408,0.5,0.5,0.4979744103220786,0.4129227421678236
42624,0.9,0.5,0.508553110815168,0.4136059172017364
42840,0.5,0.9,0.5154917682617787,0.2135289750363639
43056,0.9,0.9,0.2478451444859652,0.2206117011489432
43272,0.5,0.5,0.4935092193441415,0.4187608963979471
43488,0.9,0.5,0.4897095112500364,0.4150234423373532
43704,0.5,0.9,0.4885617531647936,0.2118529225467484
43920,0.9,0.9,0.2520306048515676,0.2225723619535969
44136,0.5,0.5,0.4975462550782895,0.4162634898661935
44352,0.9,0.5,0.5011684558964931,0.4195137568308317
44568,0.5,0.9,0.4863126223383892,0.2206700006702534
44784,0.9,0.9,0.2480631048336527,0.2133788963628944
45000,0.5,0.5,0.4961777086049338,0.4123536734743567
45216,0.9,0.5,0.486547684841437,0.4253330530826584
45432,0.5,0.9,0.4907840001993122,0.2108224605881688
45648,0.9,0.9,0.2387064707376254,0.2303325522952845
45864,0.5,0.5,0.5013775062544903,0.4212458914777024
46080,0.9,0.5,0.4974368663560014,0.4281763526414199
46296,0.5,0.9,0.4927502921253909,0.207653208139568
46512,0.9,0.9,0.2479398897732131,0.210478315825351
46728,0.5,0.5,0.4983986177011292,0.4103826098550365
46944,0.9,0.5,0.4981392184670586,0.4161792609708196
47160,0.5,0.9,0.5101055184962404,0.205038216269217
47376,0.9,0.9,0.249594204046077,0.2020590387756654
47592,0.5,0.5,0.4909440647153651,0.4173252403684422
47808,0.9,0.5,0.4994412107822374,0.4165627825405876
48024,0.5,0.9,0.4654397363481459,0.2044636719772109
48240,0.9,0.9,0.247347927189446,0.2136639993032024
48456,0.5,0.5,0.4951608436356763,0.415678585076617
48672,0.9,0.5,0.4845346210263404,0.4157959624521521
48888,0.5,0.9,0.495265908197905,0.2204093176795868
49104,0.9,0.9,0.2481882078843766,0.2106011018520683
49320,0.5,0.5,0.4907623669262977,0.4118076832387986
49536,0.9,0.5,0.4990174752155507,0.4176861474153339
49752,0.5,0.9,0.4876874744595482,0.199508070749329
49968,0.9,0.9,0.2494561551828595,0.2147790872817887
50184,0.5,0.5,0.4881000326156456,0.4034420082520827
50400,0.9,0.5,0.5058461512949278,0.4150684145727245
50616,0.5,0.9,0.5023628137190523,0.2161976353282903
50832,0.9,0.9,0.2384526765817776,0.2160488598555696
51048,0.5,0.5,0.4975158709929466,0.4065681846394323
51264,0.9,0.5,0.4959465297752397,0.4166188556327584
51480,0.5,0.9,0.5029024025871032,0.2081803915040084
51696,0.9,0.9,0.2521465024730537,0.2029629905996858
51912,0.5,0.5,0.4891168535140414,0.4074265969054098
52128,0.9,0.5,0.4974812380763872,0.4011433360592989
52344,0.5,0.9,0.4987292811514148,0.1963492771590614
52560,0.9,0.9,0.2325745495695187,0.2244279358191849
52776,0.5,0.5,0.4951872519289975,0.4007430471772391
52992,0.9,0.5,0.4943170121035489,0.4082811476688385
53208,0.5,0.9,0.5020461516261154,0.2118295797154501
53424,0.9,0.9,0.2459729029568364,0.2114370206792711
53640,0.5,0.5,0.4908398327878203,0.416411366576623
53856,0.9,0.5,0.4855387732300329,0.4024448131559012
54072,0.5,0.9,0.5041282766662697,0.20341043335754
54288,0.9,0.9,0.2461410141366938,0.2176619772955261
54504,0.5,0.5,0.4999765585037976,0.4147081650646702
54720,0.9,0.5,0.4986455491196602,0.4225995008505073
54936,0.5,0.9,0.5007921942526655,0.2109470258663729
55152,0.9,0.9,0.2376790694310334,0.1922821447722031
55368,0.5,0.5,0.4881256909577343,0.4163417645707635
55584,0.9,0.5,0.4913298942193307,0.4163679831589589
55800,0.5,0.9,0.4914600693214332,0.2195760170185876
56016,0.9,0.9,0.2513492725296567,0.2178115894592324
56232,0.5,0.5,0.5054346975043679,0.4193436942632528
56448,0.9,0.5,0.4856817607987482,0.4052978868803055
56664,0.5,0.9,0.4913359497622164,0.1951957859023057
