,useQuartiles,operatingError,reportingError
13356,True,0.1732610371442725,0.3375292260916647
13464,False,0.1786997603329331,0.1553451661531391
13572,True,0.163571612069607,0.3413403656032013
13680,False,0.1793036464950994,0.1586632990187478
13788,True,0.1577913466358722,0.3390804886773704
13896,False,0.1794148115651602,0.1690914350674344
14004,True,0.1577766095727492,0.3205306882274971
14112,False,0.1750111314147925,0.1514486080696453
14220,True,0.1527088320840046,0.3474611780448488
14328,False,0.1823263348234607,0.1569621845010329
14436,True,0.1600105237591011,0.3296675420508034
14544,False,0.1718960918912832,0.1632591537449034
14652,True,0.1663894910040789,0.3694261732255808
14760,False,0.1783536540052807,0.156720416949081
14868,True,0.1755930214917101,0.3249694525507137
14976,False,0.1821302250507941,0.1561472609095524
15084,True,0.1721554058798829,0.3365185727681308
15192,False,0.179957059571028,0.1469827653378656
15300,True,0.1639364462418642,0.3416730244069489
15408,False,0.1792052041797909,0.1500793952104105
15516,True,0.1608021921712414,0.3252437634168186
15624,False,0.1757839731790536,0.1637957742836786
15732,True,0.1629339412424283,0.3687004162000493
15840,False,0.1739409827827777,0.1668574876230606
15948,True,0.1635586675622641,0.3179984607820052
16056,False,0.1767371673989516,0.1557955696032446
16164,True,0.1660394223929803,0.3660835688108232
16272,False,0.1742946264334304,0.1511607451446161
16380,True,0.1509339468578189,0.2895903815387556
16488,False,0.1774642963739615,0.1490349810153479
16596,True,0.1588820514846365,0.3877954040439412
16704,False,0.1750414148279342,0.1605987081528433
16812,True,0.1638334381840952,0.3599922738023908
16920,False,0.1648198695196024,0.1636420638132404
17028,True,0.1594174206644079,0.3640554532458305
17136,False,0.1711011883936558,0.162720196711583
17244,True,0.1588163561355523,0.3449047186973811
17352,False,0.183675133988333,0.1574177161145107
17460,True,0.1584408659050568,0.3086743991588588
17568,False,0.1758346145822601,0.1556316472856279
17676,True,0.1565300422298174,0.2980731616574421
17784,False,0.1764434525713552,0.1781381732593362
17892,True,0.1640488176844604,0.4074506873046982
18000,False,0.1720043858576475,0.1574112623729216
18108,True,0.1670489337341021,0.3774658937745506
18216,False,0.1894157266109074,0.1576368299200848
18324,True,0.1573078712052272,0.3707823917675386
18432,False,0.168132510578084,0.1665454591358889
18540,True,0.1584917828044379,0.4919234443763895
18648,False,0.1699017363441677,0.1587239018008955
18756,True,0.1657224468732925,0.3677501554945731
18864,False,0.1758087757317356,0.1614732241234769
18972,True,0.1608643755558684,0.3413513842559713
19080,False,0.1785604803383362,0.1586222605425702
19188,True,0.1621618635557345,0.3563215563418597
19296,False,0.1723889498938582,0.1530137542537021
19404,True,0.1601522296698941,0.3799603256779618
19512,False,0.1807064737600509,0.1653902036206463
19620,True,0.1666059898243962,0.2742004780469186
19728,False,0.1806611780696403,0.1712291495624071
19836,True,0.1655672412818665,0.3349552735971507
19944,False,0.1718179293883264,0.1402977648449794
20052,True,0.167969403881474,0.3602239125129287
20160,False,0.1770653005002831,0.1693482779501817
20268,True,0.1542064763255779,0.3348777293241082
20376,False,0.1627968819886909,0.1568274250702434
20484,True,0.1662934216865546,0.3467119784365918
20592,False,0.1759028504021962,0.1456621706678337
20700,True,0.1699448879600626,0.3562673201867035
20808,False,0.1737127311655777,0.1560600843264686
20916,True,0.1612271899031148,0.3413466079934046
21024,False,0.1750744283110946,0.1518393099556177
21132,True,0.1607238120048502,0.3451176222900676
21240,False,0.1786778558719295,0.154407323307936
21348,True,0.1623196670902635,0.310988464864775
21456,False,0.1584811402217039,0.1590399955553392
21564,True,0.1673304351213199,0.3618425184873471
21672,False,0.1724290717150295,0.1666860338867786
21780,True,0.1633900051488882,0.4284354502605204
21888,False,0.1719091940258028,0.1643629998402447
21996,True,0.1623494992719544,0.3967279866420408
22104,False,0.1785775903694606,0.1620311283433386
22212,True,0.1522574682740295,0.3084196611849422
22320,False,0.1723377763455204,0.1626672949055547
22428,True,0.1804114077389717,0.3634007108926363
22536,False,0.188429817697034,0.1740715390892973
22644,True,0.1467354817111739,0.3843073074256896
22752,False,0.1717535924372862,0.1765878068297156
22860,True,0.1680179469344127,0.3361591151080433
22968,False,0.1825918892556418,0.1621372837673497
23076,True,0.163438498417361,0.2758938496151649
23184,False,0.1657895081501001,0.1513534900744962
23292,True,0.1615928602286636,0.4773320897286837
23400,False,0.1734430682696225,0.1571168833084178
23508,True,0.1652667973174586,0.357113019876455
23616,False,0.1723140420115538,0.1650922109415091
23724,True,0.1571074314808501,0.3208485877354068
23832,False,0.1749627841547319,0.1650755094085076
23940,True,0.1564925016893998,0.3801939080263636
24048,False,0.1844726833594593,0.1624420176805601
24156,True,0.1547658382619632,0.4237727773741344
24264,False,0.1715370262044923,0.1601679424992307
24372,True,0.1550547859153633,0.3173216528656349
24480,False,0.1760153954271295,0.1661675867237567
