,numVehicles,minRecipients,maxRecipients,operatingError,reportingError
31608,200,1,10,0.1691319542152248,0.1359409434516986
31824,300,1,10,0.1534492391215917,0.1304765989093616
32040,200,1,10,0.1744655502930999,0.1320073927261429
32256,300,1,10,0.1537701450863856,0.1316090087281879
32472,200,1,10,0.1654812685183752,0.132054122684326
32688,300,1,10,0.1602270446122171,0.1316995755164179
32904,200,1,10,0.1680714999515563,0.1377356740680204
33120,300,1,10,0.1607743805325402,0.1319252860412186
33336,200,1,10,0.1729153699330708,0.1314496407421088
33552,300,1,10,0.1635605563263875,0.1312016381380462
33768,200,1,10,0.1746600036605195,0.1387309794090422
33984,300,1,10,0.1563289182208709,0.1329242359562095
34200,200,1,10,0.1684216186702879,0.1329935580608716
34416,300,1,10,0.1569063603167856,0.1264858780792915
34632,200,1,10,0.1601837190991818,0.1360378819226009
34848,300,1,10,0.1571863139810402,0.1275526116414682
35064,200,1,10,0.1658322939640685,0.1281444341066241
35280,300,1,10,0.1585194806189199,0.1309510836329455
35496,200,1,10,0.1627620436158601,0.1367476856857012
35712,300,1,10,0.1603850758061978,0.1309698236653903
35928,200,1,10,0.1652752966404934,0.1287124224131358
36144,300,1,10,0.1603186080561542,0.1346495758472822
36360,200,1,10,0.1693104281486439,0.1334317003279464
36576,300,1,10,0.1567552795066294,0.1320795073792182
36792,200,1,10,0.1638343545987065,0.1345695391348808
37008,300,1,10,0.1558211569283102,0.1298826314695209
37224,200,1,10,0.1709049344753062,0.1356886801551294
37440,300,1,10,0.1575217443667082,0.1273576861117522
37656,200,1,10,0.1720073016155351,0.1322099954231155
37872,300,1,10,0.1562221318523081,0.13016452358469
38088,200,1,10,0.1644636331266732,0.131107981178075
38304,300,1,10,0.160208468705476,0.136767631495104
38520,200,1,10,0.1663585993782727,0.1320307462276372
38736,300,1,10,0.1525212641056955,0.1305121026653419
38952,200,1,10,0.1818432110206534,0.1361330914944615
39168,300,1,10,0.1637806715528773,0.1318537921048296
39384,200,1,10,0.1621590647498612,0.1330123374360327
39600,300,1,10,0.1629230932464467,0.1333437703394992
39816,200,1,10,0.1743492930883722,0.1334469981332025
40032,300,1,10,0.1544414960835017,0.1285131072386976
40248,200,1,10,0.1586457260056076,0.128269392292786
40464,300,1,10,0.155565537086651,0.1316654495579024
40680,200,1,10,0.1683040957858563,0.1338537424519739
40896,300,1,10,0.1610190000234496,0.1298316142805484
41112,200,1,10,0.1629026652193337,0.1261872146677091
41328,300,1,10,0.1597198758613205,0.1297577327653996
41544,200,1,10,0.169579515507405,0.13536699748259
41760,300,1,10,0.1602818222118938,0.1331033124767704
41976,200,1,10,0.175213086233625,0.1355024596082805
42192,300,1,10,0.1658224588096236,0.1319370344032283
42408,200,1,10,0.1604596900346442,0.1362711775694293
42624,300,1,10,0.1503493787936464,0.1302787352432121
42840,200,1,10,0.1668113886339972,0.1354582330338444
43056,300,1,10,0.1638794834581548,0.13536333119941
43272,200,1,10,0.1628312629629988,0.1359491247083152
43488,300,1,10,0.1575635601861062,0.1277324471852918
43704,200,1,10,0.1734016382610825,0.1354026811509785
43920,300,1,10,0.1613733427581998,0.1284921192599231
44136,200,1,10,0.1731014754715352,0.1384063395410517
44352,300,1,10,0.1554749519816095,0.1271839607035347
44568,200,1,10,0.1786903439053496,0.1320220248444708
