,numVehicles,operatingError,reportingError
22752,300,0.1597880975015803,0.1580157880369648
22968,200,0.1670276568485854,0.1560740804480099
23184,300,0.1612909518399031,0.1621098362151194
23400,200,0.1799169384707952,0.1641777518003943
23616,300,0.1584377631839639,0.1657579856005623
23832,200,0.1666461850352554,0.1524160717847978
24048,300,0.1587169198746388,0.1566997824915131
24264,200,0.1663413156041207,0.1530652833144127
24480,300,0.1563530324397531,0.1601439137849469
24696,200,0.1716848992945618,0.1575889944560548
24912,300,0.1606954454542793,0.1587691049678307
25128,200,0.1736286010468589,0.1633828343943211
25344,300,0.1564382305647049,0.1538525182155402
25560,200,0.1656463885867046,0.1639265148056717
25776,300,0.1628894779915791,0.1685477562588373
25992,200,0.1698690449331118,0.1514813986085735
26208,300,0.164570344771612,0.1639703201152173
26424,200,0.1660099754568593,0.1618958260659818
26640,300,0.1568498875457204,0.1607026711739104
26856,200,0.1655687719684465,0.1576406448031881
27072,300,0.1544690288304726,0.1550079212216124
27288,200,0.1635892582917444,0.1564109202362089
27504,300,0.1573701225867545,0.1571433155323007
27720,200,0.1683351758704877,0.1611443072050082
27936,300,0.1581187713031846,0.1560575455930106
28152,200,0.168448037743553,0.1565643027475396
28368,300,0.1589176856152328,0.1571064626993659
28584,200,0.1665728753528639,0.1603629045502027
28800,300,0.1589854809377905,0.1678797147975884
29016,200,0.171932560632685,0.1639625852249579
29232,300,0.1526262361166363,0.1595257702215033
29448,200,0.1610791679515319,0.1526731127701791
29664,300,0.1575679723135614,0.1580196644684485
29880,200,0.1703637212893004,0.1559465560724331
30096,300,0.1549721364884053,0.1541444170623912
30312,200,0.1728024865055014,0.1658618511082729
30528,300,0.1604780895341787,0.1570399282639496
30744,200,0.1661614976178995,0.1532025993865119
30960,300,0.1675443098740908,0.1572588623941752
31176,200,0.1623119841952542,0.1552873645741759
31392,300,0.1585490562428777,0.1524409340189954
31608,200,0.164275457480405,0.1584272731891367
31824,300,0.1554491411883224,0.1547596334489263
32040,200,0.1697558558729487,0.1637573065162721
32256,300,0.1586454278084094,0.1621274331333384
32472,200,0.1664742235344601,0.1650242850400521
32688,300,0.1624161149406184,0.1542588571987817
32904,200,0.1608585917400166,0.1498478856200631
33120,300,0.1654325480554218,0.1635178789798831
33336,200,0.1635569181930368,0.1592964990345974
33552,300,0.1593075169425724,0.1570256882633779
33768,200,0.1639610787097099,0.1522068053371823
33984,300,0.1616614437098315,0.1603264226558747
34200,200,0.1693430407794972,0.155192901023999
34416,300,0.1576998538177586,0.1595978910757449
34632,200,0.170611867868677,0.1609625658151193
34848,300,0.1563263916260682,0.1548489560805546
35064,200,0.1729588201063265,0.1534601752464591
35280,300,0.1604107848104237,0.1657405528069235
35496,200,0.1682490060516656,0.1599359272392506
35712,300,0.1586959300541535,0.1516392283459286
35928,200,0.1657545414652271,0.1607857502807516
36144,300,0.1583404312959148,0.1542998430688882
36360,200,0.1700642067232086,0.1675951997602294
36576,300,0.1553541643014444,0.1570300304478443
36792,200,0.1709791834913354,0.1516471098820771
